feature,importance
Colour_Icy Blue,0.0
Colour_Infinity Black,0.0
Colour_Ink Black,0.0
Colour_Interstellar Glow,0.0
Colour_Iris Purple,0.0
Colour_Jade Purple,0.0
Colour_Jade White,0.0
Colour_Jaguar Black,0.0
Colour_Lake Blue,0.0
Colour_Laser Black,0.0
Colour_Lavender Blue,0.0
Model_I Kall Z19Pro,0.0
Model_I Kall Z19Pro Flash blue,0.0
Colour_Light Green,0.0
Colour_Light Silver,0.0
Colour_Lightsaber Green,0.0
Colour_Lucent White,0.0
Colour_Lunar Black,0.0
Colour_M3),0.0
Colour_Magic Blue,0.0
Colour_Marigold,0.0
Colour_Marine Blue,0.0
Colour_Matte Black,0.0
Colour_Matte Charcoal,0.0
Colour_Matte black,0.0
Colour_Metal Black,0.0
Colour_Metallic Rose,0.0
Colour_Metallic White,0.0
Colour_Metaverse Blue,0.0
Colour_Meteor Black,0.0
Colour_Meteor Grey,0.0
Colour_Meteorite Grey,0.0
Colour_Meterorite Grey,0.0
Model_Infinix HOT 12 Play,0.0
Colour_Midnight Black,0.0
Colour_Midnight Blue,0.0
Colour_Midnight Galaxy,0.0
Colour_Midnight Gray,0.0
Colour_Mineral Gray,0.0
Colour_Mint Green,0.0
Colour_Mirror Black,0.0
Colour_Mithril Grey,0.0
Model_Infinix HOT 20 Play,0.0
Colour_Mystique Blue,0.0
Colour_Navy Blue,0.0
Model_Infinix Hot 11,0.0
Model_Infinix Hot 12,0.0
Colour_Nebula Purple,0.0
Colour_Night Sea,0.0
Colour_Nightsky Green,0.0
Colour_Nitro Blaze,0.0
Colour_Noble Black,0.0
Colour_OMG Black,0.0
Processor__Mediatek Helio G95,0.0
Colour_Obsidian Black,0.0
Colour_Olive Green,0.0
Colour_Onyx Black,0.0
Colour_Opal Green,0.0
Model_MOTOROLA g73 5G,0.0
Colour_Orange Shimmer,0.0
Colour_Origin Blue,0.0
Processor__QualcommÂ® Snapdragonâ_x0084_¢ 765G,0.0
Colour_Oxygen Green,0.0
Colour_Pacific Blue,0.0
Colour_Paper White,0.0
Colour_Peach,0.0
Colour_Pearl White,0.0
Colour_Pearly White,0.0
Model_Infinix Smart 6,0.0
Processor__snapdragon 888,0.0
Colour_Playful Green,0.0
Colour_Polar Black,0.0
Colour_Polar Blue,0.0
Colour_Power Black,0.0
Colour_Prime Black,0.0
Colour_Prime Blue,0.0
Colour_Prism Black,0.0
Colour_Punk Black,0.0
Colour_Pure Black,0.0
Model_Infinix Hot 20 5G,0.0
Colour_Quick Silver,0.0
Model_Infinix NOTE 12i,0.0
Colour_Racing Blue,0.0
Colour_Racing Silver,0.0
Colour_Rainy Night,0.0
Colour_Rocking Black,0.0
Colour_Royal Blue,0.0
Colour_Rush Black,0.0
Colour_SLATE GREY,0.0
Model_Infinix Note 11s Free Fire Edition,0.0
Colour_Sandy Gold,0.0
Colour_SapphireBlack,0.0
Model_Infinix Note 12 5G,0.0
Colour_Scarlet Red,0.0
Colour_Sea,0.0
Colour_Shadow Gray,0.0
Colour_Silk Blue,0.0
Model_Infinix SMART 7,0.0
Colour_Sky Blue,0.0
Colour_Sky Mirror,0.0
Model_Infinix Smart 5A,0.0
Colour_Snowfall,0.0
Colour_Snowstorm White,0.0
Colour_Solar Gold,0.0
Colour_Soulful Blue,0.0
Colour_Space Black,0.0
Colour_Space Blue,0.0
Colour_Speed Black,0.0
Colour_Speed Blue,0.0
Colour_Stardust Black,0.0
Colour_Stardust Purple,0.0
Colour_Stardust White,0.0
Colour_Starlight Black,0.0
Colour_Starry Black,0.0
Colour_Starry Purple,0.0
Colour_Starry Sky,0.0
Colour_Stealth Black,0.0
Colour_Steel Black,0.0
Model_Infinix Smart 6 HD,0.0
Colour_Stellar Black,0.0
Colour_Steller Black,0.0
Colour_Stripe Black,0.0
Colour_Stripe Blue,0.0
Colour_Submariner Black,0.0
Colour_Sunlight Orange,0.0
Colour_Sunrise Copper,0.0
Colour_Sunrise Gold,0.0
Colour_Sunrise Orange,0.0
Model_Infinix Smart 7 HD,0.0
Colour_Sunshower,0.0
Colour_Supernova Green,0.0
Colour_Supersonic Black,0.0
Colour_Tahiti Gold,0.0
Colour_Turbo Black,0.0
Colour_Turbo Cyan,0.0
Colour_Turquoise Cyan,0.0
Colour_UYUNI BLUE,0.0
Colour_Uyuni Blue,0.0
Colour_Velocity Wave,0.0
Colour_VertMenthe,0.0
Colour_Waterfall Blue,0.0
Colour_Watery Blue,0.0
Colour_Watery Grey,0.0
Colour_White,0.0
Colour_White Lily,0.0
Colour_Wildcat Blue,0.0
Colour_Yellow,0.0
Colour_chalk,0.0
Rear Camera_0MP,0.0
Model_Infinix Zero 5G 2023,0.0
Model_LAVA Z2,0.0
Rear Camera_13MP,0.0
Rear Camera_16MP,0.0
Rear Camera_200MP,0.0
Rear Camera_2MP,0.0
Rear Camera_32MP,0.0
Rear Camera_40MP,0.0
Rear Camera_48MP,0.0
Model_LAVA Z21,0.0
Rear Camera_5MP,0.0
Model_MOTOROLA Edge 30,0.0
Rear Camera_8MP,0.0
Model_MOTOROLA Edge 30 Fusion,0.0
Model_MOTOROLA Edge 40,0.0
Model_MOTOROLA G32,0.0
Model_MOTOROLA G62 5G,0.0
Model_MOTOROLA e13,0.0
Front Camera_20MP,0.0
Model_MOTOROLA e22s,0.0
Model_MOTOROLA e32,0.0
Model_MOTOROLA e40,0.0
Front Camera_50MP,0.0
Model_MOTOROLA g13,0.0
Model_MOTOROLA g22,0.0
Model_MOTOROLA g31,0.0
Processor__0 0 0 208MHz,0.0
"Processor__2GHz, Quad Core ",0.0
Model_MOTOROLA g42,0.0
Model_MOTOROLA g52,0.0
Model_MOTOROLA g72,0.0
Processor__Dimensity 6020,0.0
Processor__Dimensity 8020,0.0
Processor__Dimensity 810,0.0
Model_MOTOROLA g82 5G,0.0
Model_Micromax 3,0.0
"Processor__Exynos 1330, Octa Core ",0.0
Model_Micromax IN 2C,0.0
Processor__Exynos 850,0.0
Processor__Exynos Octa Core,0.0
Model_Nokia C01 Plus,0.0
Processor__Google Tensor,0.0
Model_OPPO A17k,0.0
Processor__Helio A22,0.0
Processor__Helio G25,0.0
Processor__Helio G36,0.0
Processor__Helio G85,0.0
Model_OPPO A77,0.0
Processor__Helio G99,0.0
Model_OPPO A77s,0.0
Processor__MT6260A,0.0
Processor__MTK Dimensity 700,0.0
Processor__MediaTek,0.0
Processor__MediaTek Dimensity 700,0.0
Processor__MediaTek Dimensity 800U,0.0
Processor__MediaTek G35,0.0
Processor__MediaTek G37,0.0
Processor__MediaTek Helio A20,0.0
Processor__MediaTek Helio A22,0.0
Processor__MediaTek Helio G35,0.0
Processor__MediaTek Helio G37,0.0
Processor__MediaTek Helio G70,0.0
Processor__MediaTek Helio G80,0.0
Processor__MediaTek Helio G85,0.0
Processor__MediaTek Helio G88,0.0
Processor__MediaTek Helio G95,0.0
Processor__MediaTek Helio G96,0.0
Processor__MediaTek Helio P35,0.0
Model_OPPO F21s Pro,0.0
Model_OPPO Reno8T 5G,0.0
Processor__Mediatek Dimensity 1300,0.0
Processor__Mediatek Dimensity 700,0.0
Model_OnePlus 8,0.0
Processor__Mediatek Dimensity 810,0.0
